"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 02 00:03:19 GMT 2024","Sat Mar 02 00:03:32 GMT 2024","13231","","WeatherShopper challenge","","","","should buy moisturizers if temperature is below 19 or sunscreens if above 34 degrees",""
"passed","Sat Mar 02 00:03:18 GMT 2024","Sat Mar 02 00:03:19 GMT 2024","546","","WeatherShopper challenge","","","","""before all"" hook",""
