"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 05 00:43:50 GMT 2023","Tue Dec 05 00:43:50 GMT 2023","724","","WeatherShopper challenge","","","","""before all"" hook",""
"passed","Tue Dec 05 00:43:50 GMT 2023","Tue Dec 05 00:44:04 GMT 2023","13836","","WeatherShopper challenge","","","","should buy moisturizers if temperature is below 19 or sunscreens if above 34 degrees",""
